trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.0,0.004518067,2.035e-6,6.46e-7,2.036e-6,6.29e-7,8.26e-7,9.1e-7,6.58e-7,5.92e-7,7.94e-7,6.71e-7,5.97e-7,8.83e-7,5.62e-7,5.81e-7
2.0,8.03e-7,9.0e-7,6.12e-7,4.28e-7,5.9e-7,6.77e-7,5.65e-7,8.26e-7,6.45e-7,6.06e-7,5.2e-7,7.04e-7,4.03e-7,8.05e-7,5.93e-7
3.0,6.95e-7,6.0e-7,9.23e-7,7.0e-7,7.9e-7,8.92e-7,7.87e-7,5.51e-7,8.02e-7,6.08e-7,6.88e-7,8.23e-7,1.003e-6,8.56e-7,7.34e-7
4.0,7.85e-7,7.3e-7,7.11e-7,6.68e-7,9.12e-7,5.82e-7,1.293e-6,8.44e-7,6.16e-7,6.87e-7,6.98e-7,9.55e-7,1.273e-6,7.88e-7,7.5e-7
5.0,1.226e-6,6.69e-7,7.43e-7,5.24e-7,7.72e-7,6.77e-7,7.07e-7,1.457e-6,7.93e-7,8.21e-7,7.46e-7,1.075e-6,7.42e-7,8.4e-7,5.9e-7
6.0,7.95e-7,1.068e-6,1.06e-6,1.054e-6,8.73e-7,6.55e-7,1.281e-6,8.84e-7,9.53e-7,6.56e-7,7.75e-7,7.87e-7,6.2e-7,7.1e-7,8.43e-7
7.0,1.136e-6,7.7e-7,1.185e-6,5.9e-7,6.76e-7,6.68e-7,9.82e-7,6.83e-7,9.88e-7,1.041e-6,6.71e-7,8.33e-7,7.64e-7,1.005e-6,7.49e-7
8.0,1.153e-6,1.406e-6,1.114e-6,7.22e-7,9.09e-7,3.83e-7,1.09e-6,7.71e-7,7.74e-7,7.82e-7,7.61e-7,6.34e-7,6.86e-7,7.21e-7,7.51e-7
9.0,1.0e-6,7.09e-7,8.04e-7,8.76e-7,8.12e-7,7.82e-7,7.35e-7,1.018e-6,1.11e-6,8.15e-7,7.32e-7,6.65e-7,4.65e-7,5.84e-7,1.127e-6
10.0,8.66e-7,8.57e-7,6.83e-7,8.89e-7,7.67e-7,7.9e-7,7.1e-7,1.287e-6,9.47e-7,1.198e-6,7.73e-7,7.52e-7,7.42e-7,4.85e-7,7.52e-7
11.0,6.95e-7,8.88e-7,6.65e-7,8.0e-7,9.21e-7,8.02e-7,8.6e-7,7.83e-7,1.246e-6,7.13e-7,8.82e-7,6.96e-7,9.98e-7,8.29e-7,9.61e-7
12.0,5.7e-7,1.156e-6,8.48e-7,6.72e-7,7.3e-7,1.015e-6,7.35e-7,7.38e-7,1.175e-6,8.41e-7,5.8e-7,1.178e-6,9.14e-7,7.63e-7,1.12e-6
13.0,7.73e-7,5.58e-7,8.95e-7,9.06e-7,8.0e-7,8.41e-7,8.88e-7,7.36e-7,6.44e-7,1.037e-6,1.091e-6,6.11e-7,6.29e-7,9.11e-7,6.01e-7
14.0,8.3e-7,1.282e-6,7.62e-7,9.1e-7,6.23e-7,1.173e-6,9.78e-7,8.2e-7,1.148e-6,9.64e-7,6.04e-7,6.8e-7,7.04e-7,6.32e-7,7.84e-7
15.0,1.157e-6,1.105e-6,9.13e-7,8.29e-7,1.092e-6,1.336e-6,6.61e-7,1.134e-6,1.216e-6,9.66e-7,7.38e-7,8.34e-7,8.68e-7,1.13e-6,7.18e-7
16.0,1.17e-6,1.199e-6,1.408e-6,6.32e-7,8.6e-7,8.99e-7,1.715e-6,1.008e-6,1.152e-6,7.47e-7,7.22e-7,8.65e-7,5.47e-7,8.78e-7,7.14e-7
17.0,9.8e-7,7.25e-7,8.33e-7,7.28e-7,1.173e-6,5.82e-7,9.38e-7,1.035e-6,7.47e-7,7.74e-7,6.79e-7,1.079e-6,7.07e-7,7.87e-7,7.74e-7
18.0,8.0e-7,8.4e-7,1.095e-6,1.182e-6,7.52e-7,8.02e-7,7.07e-7,7.66e-7,1.117e-6,9.61e-7,8.01e-7,7.08e-7,6.97e-7,6.06e-7,6.02e-7
19.0,8.64e-7,9.05e-7,1.182e-6,1.19e-6,6.94e-7,6.46e-7,6.05e-7,1.014e-6,7.43e-7,6.19e-7,6.47e-7,7.44e-7,6.46e-7,6.26e-7,7.53e-7
20.0,1.455e-6,9.73e-7,8.6e-7,8.22e-7,7.94e-7,7.87e-7,6.34e-7,9.17e-7,7.94e-7,6.26e-7,6.65e-7,6.31e-7,7.6e-7,6.25e-7,1.214e-6
21.0,9.74e-7,7.28e-7,1.016e-6,6.11e-7,8.17e-7,7.88e-7,6.47e-7,8.1e-7,6.53e-7,7.87e-7,7.49e-7,7.49e-7,6.89e-7,7.99e-7,6.96e-7
22.0,7.44e-7,9.89e-7,7.16e-7,6.59e-7,6.82e-7,8.95e-7,9.89e-7,9.27e-7,7.52e-7,8.03e-7,6.78e-7,4.77e-7,9.66e-7,7.51e-7,7.24e-7
23.0,7.71e-7,7.58e-7,8.41e-7,6.77e-7,7.68e-7,7.59e-7,9.37e-7,1.162e-6,1.003e-6,9.14e-7,6.36e-7,1.049e-6,5.69e-7,9.35e-7,8.91e-7
24.0,8.2e-7,6.41e-7,1.335e-6,8.3e-7,5.22e-7,8.02e-7,7.64e-7,7.43e-7,9.74e-7,6.6e-7,8.42e-7,5.63e-7,6.62e-7,8.85e-7,7.64e-7
25.0,7.73e-7,7.96e-7,1.316e-6,7.39e-7,8.15e-7,1.073e-6,7.15e-7,8.51e-7,8.4e-7,7.96e-7,5.81e-7,1.079e-6,7.2e-7,5.17e-7,1.129e-6
26.0,1.044e-6,7.86e-7,6.04e-7,3.84e-7,4.12e-7,7.41e-7,4.54e-7,3.59e-7,6.78e-7,4.42e-7,8.82e-7,1.043e-6,6.22e-7,6.29e-7,4.5e-7
27.0,9.94e-7,8.11e-7,1.284e-6,1.183e-6,7.51e-7,1.043e-6,9.26e-7,7.18e-7,5.68e-7,1.041e-6,7.17e-7,7.49e-7,6.38e-7,1.223e-6,8.67e-7
28.0,7.56e-7,9.55e-7,7.42e-7,1.158e-6,1.211e-6,8.44e-7,4.61e-7,1.199e-6,5.24e-7,8.72e-7,9.46e-7,7.7e-7,7.42e-7,7.1e-7,6.22e-7
29.0,6.98e-7,1.164e-6,7.79e-7,1.039e-6,9.42e-7,7.41e-7,7.91e-7,9.72e-7,7.19e-7,1.225e-6,9.06e-7,7.52e-7,7.53e-7,7.23e-7,1.143e-6
30.0,7.84e-7,7.77e-7,9.39e-7,1.026e-6,7.95e-7,1.039e-6,6.65e-7,8.72e-7,7.75e-7,7.37e-7,8.09e-7,8.08e-7,9.58e-7,7.99e-7,1.011e-6
31.0,8.59e-7,8.98e-7,8.33e-7,8.04e-7,8.76e-7,1.018e-6,7.11e-7,1.299e-6,1.202e-6,8.93e-7,8.63e-7,8.29e-7,1.053e-6,6.53e-7,5.74e-7
32.0,7.27e-7,8.28e-7,7.59e-7,8.52e-7,1.192e-6,7.87e-7,8.25e-7,8.22e-7,1.213e-6,1.106e-6,1.254e-6,1.195e-6,8.01e-7,9.65e-7,8.55e-7
33.0,9.42e-7,1.111e-6,1.031e-6,6.54e-7,6.96e-7,6.49e-7,6.44e-7,4.97e-7,6.63e-7,5.02e-7,5.03e-7,8.32e-7,7.77e-7,7.25e-7,6.21e-7
34.0,8.03e-7,8.15e-7,7.93e-7,7.8e-7,8.62e-7,1.25e-6,8.48e-7,1.255e-6,1.135e-6,8.1e-7,9.45e-7,7.7e-7,7.55e-7,7.33e-7,7.52e-7
35.0,8.16e-7,9.74e-7,9.17e-7,7.89e-7,1.016e-6,5.0e-7,9.75e-7,7.87e-7,7.31e-7,8.39e-7,1.089e-6,1.211e-6,1.152e-6,6.72e-7,1.118e-6
36.0,7.77e-7,7.33e-7,1.188e-6,6.33e-7,1.135e-6,7.46e-7,1.074e-6,7.12e-7,9.27e-7,5.66e-7,7.96e-7,8.43e-7,6.18e-7,7.53e-7,6.99e-7
37.0,8.76e-7,7.67e-7,6.85e-7,6.15e-7,7.85e-7,9.48e-7,8.7e-7,6.61e-7,8.29e-7,7.97e-7,1.067e-6,9.26e-7,7.09e-7,8.85e-7,8.64e-7
38.0,1.183e-6,9.84e-7,8.01e-7,8.15e-7,8.18e-7,1.211e-6,1.1e-6,1.105e-6,1.484e-6,1.152e-6,1.22e-6,6.72e-7,5.6e-7,6.13e-7,1.068e-6
39.0,7.91e-7,7.78e-7,7.66e-7,6.59e-7,1.145e-6,7.78e-7,7.98e-7,8.24e-7,7.33e-7,9.38e-7,6.66e-7,1.025e-6,8.15e-7,7.06e-7,7.69e-7
40.0,1.073e-6,9.16e-7,1.221e-6,8.7e-7,8.35e-7,7.14e-7,7.07e-7,8.38e-7,9.2e-7,1.261e-6,1.053e-6,6.63e-7,6.67e-7,1.197e-6,6.42e-7
41.0,7.87e-7,1.188e-6,5.74e-7,8.14e-7,1.254e-6,7.57e-7,1.031e-6,1.265e-6,7.52e-7,8.99e-7,7.13e-7,7.39e-7,6.52e-7,1.151e-6,6.77e-7
42.0,8.76e-7,7.92e-7,8.29e-7,6.76e-7,4.92e-7,9.87e-7,6.03e-7,4.92e-7,6.95e-7,6.28e-7,5.58e-7,6.14e-7,8.13e-7,6.63e-7,7.29e-7
43.0,7.83e-7,9.06e-7,6.75e-7,9.64e-7,7.56e-7,7.79e-7,1.075e-6,7.75e-7,7.66e-7,7.43e-7,6.74e-7,7.4e-7,8.0e-7,6.34e-7,5.48e-7
44.0,1.052e-6,9.1e-7,7.84e-7,1.189e-6,7.73e-7,7.87e-7,6.46e-7,1.058e-6,6.81e-7,6.53e-7,1.548e-6,6.71e-7,7.33e-7,1.183e-6,1.051e-6
45.0,1.061e-6,8.91e-7,1.376e-6,7.65e-7,7.83e-7,7.54e-7,1.086e-6,4.55e-7,7.35e-7,8.42e-7,5.66e-7,6.6e-7,7.21e-7,7.24e-7,7.65e-7
46.0,7.24e-7,1.046e-6,7.64e-7,1.187e-6,4.32e-7,7.6e-7,9.86e-7,8.25e-7,8.23e-7,6.53e-7,6.32e-7,7.68e-7,7.56e-7,7.59e-7,7.52e-7
47.0,7.56e-7,7.93e-7,1.276e-6,9.92e-7,9.07e-7,1.094e-6,9.07e-7,6.35e-7,9.39e-7,1.148e-6,6.94e-7,7.55e-7,8.15e-7,1.064e-6,1.41e-6
48.0,6.82e-7,7.42e-7,9.45e-7,1.516e-6,1.137e-6,8.08e-7,9.07e-7,8.54e-7,6.89e-7,8.91e-7,9.79e-7,8.4e-7,6.98e-7,8.22e-7,1.166e-6
