trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.0,0.21328539,0.000487181,0.000470972,0.000563724,0.000600803,0.002048143,0.040141158,0.001908786,0.00181129,0.001963558,0.00213064,0.002309797,0.002515991,0.002617832,0.002665101,0.002276851,0.002352671,0.002388733,0.002702758,0.002452206
2.0,0.000862744,0.001490228,0.001531698,0.001672378,0.001433271,0.000933467,0.000968134,0.001021793,0.001157018,0.001202946,0.001263186,0.001965183,0.002147831,0.002087547,0.00221414,0.002368296,0.002436345,0.002370758,0.002447988,0.002430326
3.0,0.001475061,0.001424427,0.001622212,0.001741937,0.001715468,0.001644294,0.001735013,0.00182502,0.001793867,0.001856036,0.001928613,0.001912606,0.002018628,0.002060427,0.002251934,0.002443946,0.002501371,0.002549827,0.002483952,0.002555938
4.0,0.001063901,0.000449981,0.000476594,0.000565799,0.000538894,0.001013073,0.001068337,0.001135693,0.00104892,0.001124033,0.001289198,0.001166757,0.000656262,0.00064606,0.000676509,0.000683446,0.000673,0.000693635,0.000750585,0.001514491
5.0,0.000484953,0.000759881,0.00078205,0.001010662,0.000978563,0.001018883,0.001022424,0.001037595,0.000856285,0.000849987,0.001115367,0.000594427,0.001210499,0.00141673,0.001281169,0.002104308,0.000714832,0.000746166,0.001023133,0.001440747
6.0,0.00650271,0.000852609,0.001028925,0.000976112,0.001120233,0.001124822,0.000555099,0.018084826,0.001810561,0.00192744,0.001974408,0.001984579,0.002111637,0.002077559,0.002198191,0.001427183,0.001283095,0.001575005,0.000712965,0.002412349
7.0,0.001512549,0.001436404,0.001591623,0.001737466,0.001637728,0.001743448,0.001738256,0.001713242,0.001796169,0.001785129,0.00193209,0.001959907,0.002001778,0.002148972,0.00220872,0.002203727,0.002276666,0.002401171,0.002409286,0.00255678
8.0,0.001465426,0.001470267,0.001532086,0.001743035,0.001735478,0.001652107,0.00181854,0.001804411,0.001758853,0.001867278,0.001896315,0.001954238,0.00203347,0.002285154,0.00101876,0.00131606,0.000823531,0.000786302,0.002000567,0.001384627
9.0,0.000922474,0.1850024,1.060362416,1.094729578,0.25507834,0.210208114,0.250098614,0.280689175,0.277953187,0.321252972,0.313371421,0.393009549,0.377858374,0.362239423,0.426402617,0.648398155,0.465632828,0.447124091,0.420663392,0.438830211
10.0,0.000766925,0.000426518,0.000452769,0.000466053,0.000553645,0.000553607,0.000494664,0.000528976,0.000557803,0.000552897,0.000802315,0.00085234,0.00065604,0.001279906,0.001259883,0.001126921,0.001319031,0.001388868,0.00133823,0.001555904
11.0,0.00046004,0.000443857,0.000745594,0.000881018,0.001034559,0.001001742,0.000983811,0.001050342,0.001184631,0.000739873,0.000995607,0.001146984,0.001179929,0.000960986,0.001059083,0.000741872,0.001307474,0.00129432,0.001448129,0.000987707
12.0,0.001762414,0.000600281,0.001335346,0.000879588,0.001127833,0.001042952,0.000982991,0.000561334,0.00058361,0.000637437,0.000596616,0.001232359,0.000678278,0.001652025,0.001503476,0.000774222,0.000699394,0.000706358,0.000738848,0.001505393
13.0,0.000807123,0.000847017,0.203011691,0.350262297,0.33633534,0.215900775,0.254551596,0.291229125,0.287461786,0.372940453,0.288369926,0.310944788,0.305961046,0.308704938,0.354615168,0.331789384,0.406101901,0.395201882,0.434233276,0.384824847
14.0,0.001294356,0.00143268,0.001480482,0.001549052,0.001614266,0.001731202,0.001782617,0.001982816,0.001918237,0.001915892,0.002019948,0.0019837,0.002094335,0.002089874,0.002162932,0.001266253,0.002278485,0.001373863,0.000721612,0.001441193
15.0,0.000404439,0.002165059,0.001666656,0.001542122,0.002813143,0.002849292,0.003123028,0.010592397,0.004804334,0.008418216,0.003786745,0.013148956,0.015193855,0.019985513,0.606705366,0.928724746,0.460297577,0.601407594,0.562154145,0.633388866
16.0,0.000420941,0.000434689,0.194589228,0.314224552,4.61165208,0.338281745,0.321239181,0.348235247,0.296584314,0.298119122,0.29056144,0.305811115,0.328870376,0.299859789,0.365964727,0.372996719,0.339843082,0.362015026,0.418591267,0.390912552
17.0,0.000721167,0.00080794,0.000886265,0.000526003,0.000500958,0.000710904,0.00060648,0.00072138,0.000622004,0.000606465,0.000573047,0.000595486,0.000700097,0.001296037,0.000653109,0.000669047,0.000687422,0.000930417,0.009295324,0.001492304
