trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.0,0.004935779,3.182e-6,9.54e-7,1.365e-6,8.81e-7,6.35e-7,4.49e-7,4.85e-7,7.37e-7,1.12e-6,6.8e-7,7.36e-7,6.76e-7,1.31e-6,7.35e-7,4.96e-7,5.73e-7,7.63e-7,7.57e-7,9.63e-7
2.0,9.96e-7,1.298e-6,8.92e-7,1.467e-6,1.446e-6,1.571e-6,8.75e-7,1.368e-6,1.097e-6,9.69e-7,1.306e-6,1.098e-6,1.278e-6,1.499e-6,1.209e-6,1.231e-6,1.526e-6,1.007e-6,1.343e-6,9.64e-7
3.0,1.021e-6,1.05e-6,1.35e-6,9.08e-7,9.22e-7,8.84e-7,1.303e-6,1.457e-6,8.9e-7,8.81e-7,1.134e-6,1.0e-6,6.85e-7,1.556e-6,9.13e-7,1.461e-6,1.031e-6,1.182e-6,1.032e-6,1.311e-6
4.0,1.596e-6,1.038e-6,1.236e-6,1.06e-6,1.53e-6,1.335e-6,1.046e-6,1.195e-6,1.445e-6,1.339e-6,7.27e-7,9.16e-7,1.372e-6,1.646e-6,2.372e-6,1.327e-6,1.261e-6,1.595e-6,1.715e-6,1.257e-6
5.0,8.88e-7,1.587e-6,1.572e-6,2.11e-6,9.15e-7,1.318e-6,1.474e-6,9.54e-7,1.454e-6,1.249e-6,1.379e-6,1.723e-6,1.515e-6,1.379e-6,1.615e-6,2.275e-6,1.675e-6,6.69e-7,1.008e-6,1.584e-6
6.0,1.316e-6,6.7e-7,1.03e-6,1.216e-6,1.087e-6,1.321e-6,1.29e-6,9.51e-7,1.278e-6,1.615e-6,1.148e-6,1.29e-6,9.97e-7,1.615e-6,9.56e-7,1.338e-6,1.811e-6,1.679e-6,2.453e-6,1.712e-6
7.0,9.71e-7,1.132e-6,8.44e-7,1.414e-6,1.388e-6,1.502e-6,8.66e-7,9.02e-7,1.165e-6,1.683e-6,1.556e-6,1.314e-6,1.18e-6,1.311e-6,1.376e-6,1.873e-6,1.983e-6,1.024e-6,1.175e-6,1.682e-6
8.0,2.106e-6,8.24e-7,1.358e-6,1.182e-6,9.45e-7,8.12e-7,1.136e-6,9.48e-7,1.018e-6,1.553e-6,1.104e-6,2.007e-6,7.93e-7,8.15e-7,1.026e-6,1.522e-6,1.853e-6,8.58e-7,9.75e-7,1.019e-6
9.0,1.166e-6,9.51e-7,1.108e-6,1.377e-6,9.26e-7,9.45e-7,2.113e-6,1.625e-6,1.268e-6,1.311e-6,1.842e-6,1.449e-6,8.3e-7,1.02e-6,9.23e-7,1.34e-6,1.028e-6,1.161e-6,1.921e-6,1.217e-6
10.0,1.217e-6,1.626e-6,1.735e-6,1.153e-6,9.87e-7,1.323e-6,8.41e-7,1.22e-6,1.119e-6,1.175e-6,1.236e-6,8.04e-7,1.049e-6,1.341e-6,1.1e-6,8.75e-7,1.761e-6,1.136e-6,1.5e-6,2.103e-6
11.0,1.395e-6,1.516e-6,1.614e-6,1.252e-6,8.71e-7,7.84e-7,1.052e-6,1.564e-6,1.455e-6,1.678e-6,1.778e-6,1.686e-6,8.81e-7,8.81e-7,1.005e-6,2.036e-6,1.189e-6,2.865e-6,1.996e-6,1.599e-6
12.0,8.17e-7,1.302e-6,1.34e-6,1.08e-6,8.43e-7,1.032e-6,1.5551e-5,1.439e-6,6.61e-7,1.719e-6,1.125e-6,1.079e-6,1.147e-6,1.098e-6,1.573e-6,1.318e-6,1.459e-6,1.934e-6,2.275e-6,1.956e-6
13.0,1.433e-6,1.34e-6,8.93e-7,1.176e-6,1.232e-6,9.64e-7,5.99e-7,1.011e-6,8.59e-7,2.097e-6,1.153e-6,1.363e-6,8.02e-7,8.82e-7,9.0e-7,1.455e-6,1.705e-6,1.099e-6,1.047e-6,8.64e-7
14.0,1.552e-6,1.567e-6,1.022e-6,1.848e-6,1.263e-6,9.0e-7,1.404e-6,1.66e-6,9.62e-7,1.334e-6,9.58e-7,1.667e-6,9.44e-7,1.196e-6,1.999e-6,1.378e-6,1.286e-6,8.44e-7,1.868e-6,9.5e-7
15.0,1.242e-6,1.144e-6,1.532e-6,1.088e-6,1.265e-6,8.66e-7,1.367e-6,1.123e-6,1.515e-6,1.613e-6,9.82e-7,1.239e-6,1.819e-6,1.519e-6,1.8e-6,1.477e-6,1.725e-6,1.338e-6,1.686e-6,1.903e-6
16.0,1.176e-6,1.32e-6,1.553e-6,8.86e-7,8.61e-7,8.37e-7,1.485e-6,1.07e-6,1.046e-6,1.39e-6,1.146e-6,8.21e-7,8.72e-7,1.457e-6,2.416e-6,1.893e-6,1.48e-6,1.502e-6,1.142e-6,1.431e-6
17.0,1.11e-6,1.355e-6,1.206e-6,8.57e-7,1.033e-6,1.271e-6,6.1e-7,1.033e-6,8.39e-7,1.126e-6,6.85e-7,1.493e-6,8.71e-7,1.391e-6,8.52e-7,1.096e-6,1.018e-6,1.325e-6,8.05e-7,1.272e-6
18.0,1.209e-6,8.4e-7,9.33e-7,1.185e-6,1.298e-6,1.159e-6,1.598e-6,7.88e-7,1.184e-6,1.156e-6,1.531e-6,1.314e-6,1.787e-6,1.186e-6,1.079e-6,2.165e-6,1.812e-6,1.673e-6,1.417e-6,9.7e-7
19.0,1.196e-6,8.2e-7,1.273e-6,8.8e-7,8.72e-7,1.764e-6,9.54e-7,7.87e-7,1.008e-6,1.271e-6,1.217e-6,1.441e-6,8.99e-7,1.146e-6,8.51e-7,1.244e-6,1.545e-6,1.949e-6,1.038e-6,1.13e-6
20.0,1.253e-6,1.128e-6,1.336e-6,9.76e-7,1.941e-6,1.499e-6,1.053e-6,1.343e-6,1.333e-6,1.557e-6,1.415e-6,7.55e-7,9.96e-7,1.159e-6,1.153e-6,1.747e-6,1.229e-6,1.505e-6,1.118e-6,8.59e-7
21.0,1.125e-6,1.119e-6,1.027e-6,1.066e-6,8.52e-7,1.228e-6,1.762e-6,1.526e-6,9.03e-7,8.7e-7,8.91e-7,1.076e-6,1.026e-6,1.894e-6,1.984e-6,1.496e-6,1.546e-6,1.384e-6,1.245e-6,1.124e-6
22.0,9.83e-7,1.193e-6,1.476e-6,1.113e-6,1.43e-6,1.784e-6,1.297e-6,1.686e-6,1.926e-6,8.17e-7,1.37e-6,7.84e-7,1.147e-6,9.76e-7,1.074e-6,9.67e-7,9.71e-7,1.251e-6,1.253e-6,2.736e-6
23.0,1.178e-6,1.641e-6,1.232e-6,1.23e-6,9.95e-7,9.6e-7,7.08e-7,8.35e-7,1.906e-6,1.899e-6,1.71e-6,1.083e-6,2.043e-6,1.108e-6,1.997e-6,1.415e-6,1.806e-6,1.378e-6,1.066e-6,2.79e-6
24.0,1.155e-6,1.639e-6,1.39e-6,9.31e-7,1.695e-6,1.289e-6,9.55e-7,1.194e-6,1.38e-6,1.534e-6,9.71e-7,1.682e-6,9.98e-7,1.747e-6,1.189e-6,1.283e-6,9.63e-7,1.844e-6,1.627e-6,9.26e-7
25.0,8.59e-7,1.385e-6,1.438e-6,8.26e-7,1.813e-6,1.637e-6,1.164e-6,1.189e-6,1.255e-6,1.29e-6,1.311e-6,1.497e-6,1.442e-6,1.363e-6,9.93e-7,2.909e-6,1.969e-6,1.498e-6,1.365e-6,1.369e-6
26.0,1.281e-6,1.282e-6,9.18e-7,7.49e-7,9.53e-7,1.529e-6,1.188e-6,9.54e-7,1.462e-6,1.076e-6,9.35e-7,1.113e-6,8.55e-7,8.01e-7,1.275e-6,1.701e-6,1.603e-6,1.553e-6,1.1e-6,1.028e-6
27.0,1.01e-6,1.722e-6,1.63e-6,1.179e-6,1.351e-6,1.367e-6,1.135e-6,1.343e-6,7.96e-7,7.8e-7,1.045e-6,1.068e-6,9.11e-7,8.57e-7,8.56e-7,1.282e-6,1.071e-6,1.141e-6,8.38e-7,1.766e-6
28.0,9.19e-7,1.084e-6,8.74e-7,1.41e-6,1.473e-6,8.5e-7,1.292e-6,1.327e-6,1.699e-6,9.16e-7,1.041e-6,1.242e-6,1.356e-6,1.229e-6,1.533e-6,1.386e-6,8.99e-7,8.81e-7,1.083e-6,9.13e-7
29.0,9.47e-7,9.22e-7,1.088e-6,1.405e-6,1.107e-6,1.011e-6,1.223e-6,1.178e-6,8.54e-7,1.172e-6,1.239e-6,1.116e-6,1.126e-6,2.965e-6,1.2701e-5,8.41e-7,1.26e-6,1.4194e-5,1.851e-6,2.429e-6
30.0,9.24e-7,1.447e-6,1.151e-6,8.87e-7,1.306e-6,1.058e-6,7.87e-7,1.567e-6,1.302e-6,9.99e-7,1.505e-6,1.613e-6,2.054e-6,1.26e-6,1.461e-6,8.23e-7,1.759e-6,1.559e-6,1.425e-6,1.914e-6
