trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.0,0.007569481,1.77e-6,2.59e-7,3.68e-7,5.23e-7,7.09e-7,7.48e-7,3.17e-7,5.03e-7,4.83e-7,1.041e-6,7.5e-7,9.28e-7,7.24e-7,5.74e-7,5.71e-7,3.33e-7,5.14e-7,3.22e-7,3.49e-7
2.0,7.68e-7,6.66e-7,1.24e-6,9.39e-7,9.88e-7,1.196e-6,5.52e-7,9.42e-7,1.161e-6,1.564e-6,1.007e-6,7.87e-7,9.35e-7,1.13e-6,7.91e-7,9.25e-7,9.8e-7,1.145e-6,1.085e-6,9.92e-7
3.0,8.12e-7,9.37e-7,8.25e-7,9.76e-7,7.41e-7,7.25e-7,6.96e-7,7.86e-7,7.53e-7,1.051e-6,1.342e-6,7.38e-7,8.7e-7,6.33e-7,7.47e-7,1.143e-6,1.47e-6,8.7e-7,1.326e-6,1.094e-6
4.0,8.07e-7,1.173e-6,1.228e-6,1.24e-6,1.274e-6,1.38e-6,1.304e-6,2.082e-6,1.564e-6,1.763e-6,1.078e-6,1.736e-6,1.342e-6,1.307e-6,1.4e-6,1.346e-6,1.753e-6,1.141e-6,1.296e-6,1.139e-6
5.0,1.178e-6,1.332e-6,1.528e-6,1.406e-6,1.474e-6,1.237e-6,1.379e-6,1.365e-6,1.779e-6,1.321e-6,1.55e-6,1.671e-6,1.179e-6,1.249e-6,1.868e-6,1.392e-6,1.77e-6,1.218e-6,1.797e-6,1.169e-6
6.0,1.353e-6,1.377e-6,1.766e-6,1.17e-6,1.392e-6,1.112e-6,1.267e-6,1.032e-6,9.94e-7,1.445e-6,7.51e-7,3.56e-7,3.7e-7,5.65e-7,3.28e-7,1.374e-6,8.68e-7,5.14e-7,8.47e-7,5.65e-7
7.0,8.34e-7,7.18e-7,1.614e-6,1.186e-6,6.56e-7,4.22e-7,4.49e-7,4.14e-7,4.57e-7,3.79e-7,1.445e-6,1.532e-6,1.137e-6,1.127e-6,1.647e-6,1.507e-6,1.194e-6,1.48e-6,1.108e-6,1.985e-6
8.0,1.495e-6,1.361e-6,1.75e-6,1.337e-6,1.001e-6,8.96e-7,1.366e-6,1.145e-6,1.623e-6,1.185e-6,1.366e-6,1.319e-6,1.376e-6,1.115e-6,1.378e-6,1.484e-6,1.387e-6,1.191e-6,1.392e-6,1.156e-6
9.0,1.434e-6,1.463e-6,1.379e-6,1.161e-6,1.24e-6,1.295e-6,1.247e-6,1.232e-6,9.95e-7,1.514e-6,1.739e-6,1.085e-6,1.373e-6,1.367e-6,1.067e-6,1.127e-6,1.503e-6,1.443e-6,1.272e-6,1.235e-6
