trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.0,0.005085907,3.628e-6,9.35e-7,1.311e-6,1.333e-6,1.124e-6,1.254e-6,1.288e-6,1.065e-6,1.177e-6,8.56e-7,9.3e-7,8.97e-7,9.94e-7,1.078e-6,1.882e-6,8.47e-7,1.654e-6,1.468e-6,1.022e-6
2.0,4.59e-7,2.9e-7,3.75e-7,3.33e-7,7.62e-7,1.158e-6,9.51e-7,8.28e-7,6.97e-7,7.27e-7,9.08e-7,1.031e-6,5.65e-7,5.84e-7,5.2e-7,5.71e-7,8.52e-7,4.51e-7,1.076e-6,6.99e-7
3.0,5.08e-7,6.58e-7,1.194e-6,1.426e-6,8.92e-7,9.13e-7,2.337e-6,1.473e-6,8.9e-7,1.307e-6,1.226e-6,8.91e-7,3.76e-7,4.35e-7,1.831e-6,9.62e-7,1.322e-6,1.671e-6,9.98e-7,1.201e-6
4.0,1.297e-6,1.058e-6,7.18e-7,1.21e-6,8.49e-7,1.646e-6,1.601e-6,1.736e-6,2.641e-6,2.02e-6,1.099e-6,1.12e-6,1.661e-6,1.969e-6,1.615e-6,6.21e-7,8.72e-7,9.72e-7,1.597e-6,8.54e-7
5.0,8.62e-7,4.22e-7,9.05e-7,7.72e-7,3.96e-7,8.58e-7,9.33e-7,9.32e-7,1.004e-6,7.34e-7,1.305e-6,7.25e-7,9.15e-7,1.112e-6,9.35e-7,1.017e-6,9.43e-7,1.181e-6,1.17e-6,9.65e-7
6.0,9.33e-7,6.24e-7,1.52e-6,1.06e-6,8.2e-7,8.06e-7,7.37e-7,9.24e-7,1.066e-6,5.87e-7,1.119e-6,7.23e-7,7.3e-7,1.037e-6,1.135e-6,9.6e-7,1.72e-6,1.453e-6,1.972e-6,1.585e-6
7.0,1.84e-6,1.325e-6,1.489e-6,1.999e-6,1.779e-6,1.992e-6,1.262e-6,1.233e-6,1.797e-6,1.973e-6,1.52e-6,1.403e-6,1.844e-6,1.492e-6,1.489e-6,1.963e-6,1.616e-6,1.74e-6,1.968e-6,8.06e-7
8.0,1.607e-6,7.91e-7,1.4e-6,8.86e-7,8.25e-7,8.22e-7,1.14e-6,8.27e-7,6.97e-7,7.47e-7,8.76e-7,8.14e-7,8.21e-7,8.43e-7,1.202e-6,1.443e-6,1.179e-6,5.73e-7,9.43e-7,1.31e-6
9.0,8.53e-7,4.46e-7,4.32e-7,4.21e-7,3.89e-7,4.02e-7,4.08e-7,8.47e-7,8.9e-7,1.015e-6,5.27e-7,3.86e-7,6.96e-7,1.16e-6,9.04e-7,1.125e-6,1.122e-6,8.82e-7,1.393e-6,9.7e-7
