trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.0,13.65155272,1.296773252,1.194838818,1.209316608,1.29727098,1.315457927,1.227960895,1.24417205,1.289301199,1.430521751,1.412286412,1.502588082,1.590178458,1.583712009,1.627194244
2.0,1.358130316,1.361331858,1.304547998,1.502594397,1.462779876,1.33828963,1.348532397,1.365032382,1.386891897,1.41709601,1.49634171,1.506202534,1.563732593,1.608097409,1.449022002
3.0,1.321693791,1.328346871,1.305306427,1.336331913,1.34033145,1.323751543,1.368082615,1.381024673,1.353070406,1.439853713,1.488474459,1.526142138,1.542344884,1.616653791,1.625631943
4.0,1.21458753,1.130281648,1.201625705,1.163052905,1.213191991,1.235231227,1.249138071,1.230552817,1.245457313,1.249562742,1.344307539,1.387076088,1.39879706,1.440263185,1.625369775
5.0,1.348463234,1.280707678,1.223022603,1.186623949,1.369738284,1.346226038,1.367475065,1.240092116,1.255343906,1.437972948,1.471529197,1.527048374,1.549957432,1.647943115,1.664053516
6.0,1.165788131,1.213670111,1.245357234,1.229483629,1.20572955,1.213564371,1.184308115,1.294892841,1.334087492,1.267807856,1.334459358,1.526656749,1.564365764,1.647506687,1.632960984
7.0,1.336137234,1.127122404,1.327368167,1.340735443,1.355509813,1.375040253,1.358610881,1.351798172,1.413353319,1.4370189,1.477124392,1.528538243,1.55512941,1.633290602,1.649889331
8.0,1.184741798,1.121265337,1.347526735,1.329162526,1.22385355,1.229981261,1.204546916,1.387802447,1.387416148,1.285340163,1.360744264,1.567517553,1.542146577,1.617050271,1.636808778
9.0,1.342471071,1.249268816,1.327720501,1.262535022,1.237358895,1.302559536,1.248507553,1.262584904,1.387164112,1.340757455,1.434460517,1.50306753,1.575692225,1.621455442,1.663415997
10.0,1.196711394,1.267766009,1.238907855,1.202121456,1.207329055,1.234322146,1.256521182,1.227726604,1.278757972,1.2873745,1.311141816,1.440991871,1.526411388,1.508098485,1.667578679
11.0,1.221159367,1.255040054,1.124804656,1.060587632,1.223153726,1.223982089,1.221810471,1.097443287,1.113434424,1.30076271,1.342348307,1.38983768,1.3840886,1.647610476,1.650971344
12.0,1.330351736,1.159457417,1.325974123,1.340310982,1.329965424,1.379481237,1.380955037,1.377079973,1.393396245,1.473050656,1.470559572,1.527436628,1.555066608,1.674034742,1.656792294
