trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.0,34.2004774,7.711003117,8.357576419,7.699562676,8.191012509,7.924893149,8.215167832,8.354569133,7.77310543,9.533353288,9.844826451,8.539313644,8.62341023,6.896934125,7.613280185
2.0,9.59940559,10.510384868,9.719108389,9.853467068,11.210561064,10.429312804,8.54635528,11.284201276,10.228700885,8.774598498,8.2773727,10.87288719,11.373632514,10.283435741,9.493313406
3.0,9.401475297,6.092317455,9.442181229,9.747918505,12.898909392,13.154884097,12.428259574,15.729350252,13.063090169,12.266265992,12.513351038,19.390966228,15.64969926,14.602719847,12.723461791
4.0,8.321916052,7.727558041,8.60685376,11.079310506,9.65872664,8.5709666,13.327559286,12.306067596,11.05965753,13.144985904,10.082042644,15.485949622,12.001211626,17.199106508,30.127655502
5.0,9.026333681,9.596611824,10.535036407,9.490436008,9.489977835,9.628210456,11.867883911,11.839019051,11.262072438,9.218184503,11.530284259,10.269733349,9.445770596,10.406639429,9.127949462
6.0,9.571118798,10.688105014,9.735337042,11.27596139,10.365203423,11.467022727,7.637900326,9.773559386,12.621650488,13.947356851,12.158438492,11.423801147,11.012439431,9.679391151,8.923266177
7.0,8.937160603,7.541764362,12.955405202,11.249432102,11.703376055,11.633636661,10.202823189,13.929238021,14.031240305,10.908316069,14.575045311,11.926675386,13.189159338,10.882603128,10.109438943
8.0,8.617720853,11.199158503,9.776428434,9.756016103,10.967412174,22.441348118,23.382547544,12.681292539,14.522523654,14.574551413,15.60390279,12.638102169,12.932640233,13.207002436,12.218985197
9.0,9.510532242,8.273686934,8.871809577,13.327082522,13.163972456,11.766622505,11.152259991,12.303201394,13.76907513,13.926827427,10.976587264,12.653479352,12.820916521,16.161733762,13.666777622
10.0,9.480631239,8.914548089,9.333592034,10.399185956,9.681099654,14.301886238,9.78907686,11.339529039,11.329271625,9.157219314,9.427850069,9.620317948,10.373639989,10.400019972,8.42715202
11.0,7.493996172,11.270414512,10.013610955,10.527235687,11.26941292,9.922457148,15.473874738,13.21208457,16.007967864,18.364577096,12.914083786,12.855343195,11.859948239,15.776382069,15.025715627
12.0,9.612309554,11.445955536,9.165628191,12.127018543,11.339286589,13.316173622,16.31943188,17.418626582,15.821658199,18.514126425,16.04426259,15.488899311,15.876550653,20.439076924,21.634773194
13.0,7.578971359,8.827292292,10.116608483,9.172401377,10.761345319,10.189483017,10.287625631,9.209603006,8.143279209,7.914733524,9.361026674,11.072852016,13.580988162,13.935025069,11.17921015
14.0,9.017768419,12.755647011,14.505282544,12.213060418,10.281487057,13.568270302,10.794518915,13.144275766,12.248704189,10.935032995,12.00073482,13.123741872,10.90990946,11.168643816,12.179972701
15.0,8.631399797,9.240659929,10.952555263,9.822982889,9.120199429,9.960307254,12.448985654,12.860773295,11.729711508,14.453536892,13.052357918,11.393568739,12.352525462,13.325430701,12.624755584
16.0,8.494674881,12.291195366,9.84868217,11.283979229,11.343287273,23.043083346,23.883443661,16.928481284,17.676439702,13.777390292,16.015992484,16.209673488,16.101402256,15.491632093,14.390482607
