trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.0,36.604944761,31.13624336,35.339637665,35.104268422,35.015726763,36.869546458,38.252603657,40.139885918,42.324895097,45.056346115,46.797058259,49.158445517,51.047784235,52.889442678,54.780197797
2.0,9.644518049,35.717216145,36.80594873,36.098049955,36.085055403,37.971181877,39.233789433,41.031578093,42.959011098,45.019394003,47.212992263,49.331783939,51.227240919,53.459974399,54.976268077
3.0,10.256727072,32.385296406,36.444919584,36.135305703,36.397433896,38.049675876,39.357524003,40.863990485,42.716122115,45.131875434,46.500150792,48.325578115,50.430685945,53.043407176,54.433377535
4.0,10.767421545,35.679544124,37.231675378,36.682042291,36.995317467,38.472153426,39.563898523,41.127238935,42.804105181,44.41520428,46.183663843,48.238061075,49.045600433,51.125108769,52.727746032
5.0,10.168887034,36.187494918,37.579542068,37.518327511,37.706608951,39.358731008,40.551432573,42.001931748,44.325115339,44.538144357,46.366609326,48.260383927,49.49177526,51.683900852,53.3723511
6.0,9.84697217,35.747794847,37.079489815,36.64135002,36.679006107,38.067113565,39.846020665,41.335923905,44.30805439,45.762514371,47.677324308,49.373683905,51.882935615,53.930688351,55.988730113
7.0,9.747669751,32.512072775,33.492801585,38.569780008,38.246309827,38.448024687,39.852296717,41.811078449,44.647728235,46.916803165,48.556057284,49.373365948,51.856948983,54.5902736,56.600727375
8.0,10.347667821,33.04854575,37.291084305,37.156992655,37.39794159,39.32735939,40.557965607,42.254044648,44.054318411,46.029745472,47.321662127,48.970623538,50.624809231,53.419001181,54.98305712
9.0,10.000029184,32.919232363,37.112372922,37.147227517,37.616829417,39.429711039,40.671834893,42.703964946,44.492087676,46.349819815,47.224082643,49.531228135,51.46133349,53.553791114,55.159753835
10.0,10.550219743,33.042077663,34.421445402,37.611559598,37.89917871,39.60795934,40.671471072,43.049429831,45.986034523,47.192647913,48.542836097,51.399623026,53.090506271,54.108753484,55.808576909
11.0,10.302196624,33.397160374,34.471742144,37.527809913,37.701554533,40.156539598,41.928637004,43.285496578,45.358266689,47.143578927,48.594547641,50.618413822,51.706267202,52.93917578,55.085275935
12.0,10.901063264,36.651164283,37.652068619,37.885761685,38.285308729,40.234601845,41.479299311,43.109845844,45.825281914,48.233302955,49.732297969,51.913645831,53.63608559,54.288784902,56.372499722
13.0,10.659114737,36.630409846,37.81108221,37.646060063,37.725755062,39.346834445,40.81266758,42.690447342,45.289334495,47.8510901,49.441803614,52.122589532,53.92298776,56.671066413,58.432373938
14.0,10.309808365,33.35472326,37.870861649,37.700887014,38.181707895,39.378863768,40.959980295,42.72814979,45.665162194,47.291841777,48.330661,50.924597483,52.752596175,54.692880063,56.16193617
15.0,4.797799281,33.845571547,34.827627352,37.923453266,38.391146701,39.968722423,41.454977594,43.367673996,45.88803248,46.784243238,48.711693585,50.141170938,51.951225428,53.613120915,55.246365893
16.0,10.321357972,34.159793421,35.047685944,38.029809111,38.898168057,40.788395788,42.334594471,43.870985383,46.126209419,47.361346251,49.113351023,50.466615739,52.368416903,54.74015557,57.182939156
17.0,10.56744108,33.914641607,38.610260849,38.645656776,38.793621801,40.317606231,42.112310652,43.803051874,45.640604221,46.952018639,48.883353533,50.481349241,52.144049966,53.192687284,55.985702487
18.0,9.750295561,33.531993024,38.149478993,38.051890791,38.517728331,40.257145912,41.830054332,43.668364452,45.759742978,46.951256307,48.670053785,51.360343309,53.225189106,54.586624357,56.36448059
