trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.0,0.112176674,0.245669523,0.000353451,0.000372916,0.00040874,0.000365632,0.000333484,0.000373751,0.000340915,0.000427532,0.00039283,0.000395657,0.000388496,0.000405441,0.000578129,0.000517296,0.000557607,0.000439323,0.000445263,0.000539452,0.000493532,0.000473042,0.000504312,0.006353383,0.000527154,0.000580826,0.000587342,0.000581377,0.000635329,0.000620292,0.000712995,0.00072114,0.000716053,0.000739072,0.000691023,0.006262609,0.000721453,0.000721006,0.000770863,0.000725914,0.000790977,0.000773027,0.000781511,0.000896431,0.000903541,0.000818971,0.000843871,0.000835175,0.001147752,0.000908553
2.0,0.000281638,0.000583364,0.000989434,0.00092431,0.001296538,0.001201157,0.001448149,0.001610371,0.002138581,0.001774851,0.001529105,0.001147398,0.001232388,0.001761127,0.002726293,0.001906536,0.002217521,0.001906611,0.001487129,0.00102757,0.001358503,0.001396643,0.002339295,0.001061596,0.010164923,0.001880845,0.002733742,0.001916333,0.001892426,0.001749609,0.002087811,0.001360913,0.010575191,0.003265308,0.002625519,0.005105234,0.004591106,0.002798277,0.002403777,0.005207873,0.006585977,0.003694582,0.003644461,0.003659264,0.013531494,0.004727792,0.00450686,0.005216326,0.003655869,0.01330976
3.0,0.000291813,0.110396387,0.001654137,0.001845616,0.001756164,0.002140479,0.00226797,0.000770983,0.000717924,0.00041659,0.000411336,0.000378939,0.000389003,0.000391946,0.00039356,0.000498891,0.000457753,0.000460853,0.000508554,0.000519632,0.000623326,0.00049964,0.000519748,0.000558956,0.000684947,0.000578778,0.000585649,0.000705643,0.000580027,0.000577095,0.00058569,0.000610691,0.000758655,0.000621155,0.000775543,0.000638241,0.000830968,0.000657583,0.000857175,0.000693663,0.000716462,0.000854209,0.000748424,0.000940128,0.000776864,0.000793997,0.000727416,0.000954005,0.000980507,0.000988965
4.0,0.000575965,0.052378136,0.001239104,0.002202442,0.001469477,0.001670196,0.001843038,0.001494913,0.00162227,0.001542042,0.00265203,0.003285036,0.000993869,0.000811706,0.000851278,0.000846857,0.001094894,0.001081142,0.001124965,0.003635555,0.002562714,0.004510921,0.004156523,0.01416573,0.006458251,0.006787049,0.006930832,0.018265307,0.004768103,0.01536806,0.003985426,0.013891549,0.007168227,0.006738531,0.007343507,0.006396491,0.006762212,0.007698487,0.007123016,0.007308408,0.012091064,0.009880741,0.013105103,0.007785282,0.010917154,0.037548755,0.01105948,0.012807472,0.013899555,0.022917768
5.0,0.000282937,0.001232451,0.002254044,0.002096277,0.001475852,0.001329864,0.001709273,0.006700132,0.002711167,0.000779864,0.011456276,0.103224169,0.000389754,0.000391356,0.000387181,0.000452429,0.000469342,0.000452352,0.000561169,0.000574442,0.000534301,0.000549306,0.000539951,0.000532346,0.000566417,0.000584385,0.000770804,0.000573705,0.000567288,0.000610581,0.000697975,0.000615523,0.000611144,0.000616147,0.000826566,0.000753517,0.000716214,0.000837798,0.000908166,0.0007169,0.000738385,0.000740406,0.000754343,0.000959043,0.000759113,0.000839948,0.000840859,0.000980188,0.001061753,0.000953281
6.0,0.000285297,0.001507421,0.001028897,0.001306624,0.002895572,0.001482623,0.00137002,0.001953293,0.000717735,0.000949751,0.001050094,0.00164303,0.001454204,0.011620939,0.003006773,0.002144721,0.003401317,0.005623995,0.002153843,0.002116376,0.002495774,0.001523884,0.002879074,0.012794123,0.003083633,0.025993512,0.00730725,0.012134004,0.004337931,0.013015697,0.004658954,0.004743246,0.004639272,0.004993355,0.00602189,0.006505469,0.007081819,0.015531201,0.007292361,0.004185742,0.005536252,0.006733368,0.014282192,0.015225129,0.015879714,0.014785144,0.00481846,0.004120868,0.004268032,0.00433501
7.0,0.000267836,0.000596517,0.04092769,0.058519647,0.051207645,0.053368617,0.063336573,0.051865229,0.07289326,0.05651694,0.066503867,0.069285342,0.076347909,0.081926897,0.075329285,0.077642518,0.079606104,0.09913809,0.064849284,0.170527854,0.13130731,0.146793756,0.122279901,0.199161284,0.13600935,0.219532594,0.113024305,0.084041776,0.106491059,0.083688215,0.095098199,0.089457277,0.164502923,0.112131235,0.108616535,0.095693511,0.109031489,0.098745924,0.13139487,0.168265464,0.18998379,0.208412846,0.148958247,0.317237184,0.17989875,0.264008619,0.111488944,0.113964983,0.140205822,0.187198174
8.0,0.00027123,0.000814528,0.101913771,0.000295744,0.0003258,0.000325702,0.000318998,0.000317967,0.000377336,0.000417603,0.00044045,0.000363541,0.000382227,0.000421164,0.00046296,0.000440776,0.000440611,0.000586316,0.00047939,0.000493943,0.000560046,0.000517009,0.000599106,0.000544537,0.00065293,0.000584201,0.000698664,0.000605025,0.000649086,0.000616689,0.000765221,0.000673952,0.000725603,0.000909278,0.000877836,0.000698937,0.000771887,0.000901264,0.00069464,0.000695341,0.000888235,0.000888337,0.000867223,0.000787794,0.000689155,0.000884051,0.000777273,0.000780362,0.000985583,0.000824407
9.0,0.000260607,0.012676501,0.003197227,0.003183835,0.001673224,0.008621655,0.001631238,0.000736987,0.002057532,0.001612923,0.002506091,0.002160107,0.001646097,0.001900805,0.002385826,0.002901462,0.002853385,0.002537504,0.004746742,0.001556519,0.001591555,0.001476919,0.001754843,0.002018226,0.002315748,0.00167121,0.002745073,0.003152326,0.003783253,0.006942745,0.004648307,0.004358389,0.003933218,0.003795256,0.012275059,0.22624933,0.003169145,0.0035702,0.004369516,0.004914389,0.004015833,0.005020614,0.006919867,0.003193892,0.003813182,0.006263002,0.003854823,0.009033215,0.001830674,0.004156932
