trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.0,0.008121039,3.456e-6,2.81e-7,8.31e-7,9.54e-7,7.16e-7,8.61e-7,4.81e-7,8.15e-7,6.81e-7,7.58e-7,7.77e-7,7.74e-7,4.83e-7,7.34e-7,1.541e-6,8.24e-7,6.87e-7,7.89e-7,7.64e-7
2.0,4.28e-7,7.88e-7,5.58e-7,1.162e-6,7.55e-7,8.15e-7,6.13e-7,9.07e-7,7.67e-7,5.95e-7,7.99e-7,4.06e-7,3.43e-7,6.86e-7,1.174e-6,5.56e-7,6.06e-7,4.45e-7,8.12e-7,3.57e-7
3.0,3.64e-7,9.96e-7,9.41e-7,6.48e-7,1.117e-6,6.88e-7,7.62e-7,8.14e-7,3.16e-7,4.01e-7,4.75e-7,8.17e-7,6.24e-7,8.88e-7,1.064e-6,1.156e-6,1.366e-6,9.81e-7,4.58e-7,3.99e-7
4.0,3.4e-7,1.354e-6,8.43e-7,8.61e-7,7.08e-7,8.03e-7,5.43e-7,5.93e-7,8.54e-7,6.38e-7,9.39e-7,4.12e-7,5.09e-7,7.65e-7,7.63e-7,6.28e-7,3.39e-7,9.47e-7,1.341e-6,5.18e-7
5.0,5.84e-7,1.384e-6,1.636e-6,9.96e-7,4.18e-7,9.63e-7,7.32e-7,5.12e-7,7.74e-7,4.84e-7,2.01e-6,9.19e-7,8.73e-7,6.67e-7,7.8e-7,7.38e-7,7.02e-7,6.64e-7,9.18e-7,7.25e-7
6.0,4.31e-7,5.96e-7,5.54e-7,4.56e-7,1.096e-6,5.22e-7,4.5e-7,8.47e-7,8.93e-7,3.56e-7,6.47e-7,7.19e-7,1.196e-6,3.41e-7,6.22e-7,4.81e-7,6.38e-7,6.76e-7,6.38e-7,8.32e-7
7.0,4.74e-7,3.39e-7,1.285e-6,8.33e-7,4.06e-7,6.65e-7,9.86e-7,1.259e-6,6.9e-7,4.45e-7,6.63e-7,5.76e-7,8.93e-7,5.29e-7,7.37e-7,6.08e-7,6.52e-7,3.75e-7,5.8e-7,8.6e-7
8.0,5.2e-7,3.52e-7,6.23e-7,7.83e-7,6.42e-7,6.54e-7,8.63e-7,8.88e-7,1.084e-6,4.12e-7,8.48e-7,7.26e-7,1.134e-6,7.79e-7,5.17e-7,5.22e-7,7.41e-7,4.01e-7,4.44e-7,1.429e-6
9.0,8.72e-7,7.46e-7,6.13e-7,7.34e-7,4.84e-7,6.67e-7,1.172e-6,7.38e-7,7.15e-7,4.19e-7,5.4e-7,3.84e-7,3.17e-7,3.58e-7,1.047e-6,8.97e-7,5.28e-7,6.25e-7,1.005e-6,4.33e-7
10.0,3.41e-7,5.07e-7,6.5e-7,6.84e-7,5.68e-7,8.43e-7,1.106e-6,8.06e-7,1.286e-6,8.31e-7,6.54e-7,3.74e-7,5.44e-7,1.036e-6,7.45e-7,5.29e-7,5.4e-7,7.91e-7,1.908e-6,5.23e-7
11.0,8.65e-7,2.86e-7,4.03e-7,4.72e-7,5.51e-7,8.22e-7,6.53e-7,1.06e-6,7.14e-7,8.37e-7,1.427e-6,5.7e-7,4.01e-7,8.44e-7,3.14e-7,1.032e-6,4.6e-7,9.43e-7,7.88e-7,4.57e-7
12.0,6.23e-7,3.01e-7,1.338e-6,3.28e-7,3.6e-7,3.21e-7,6.81e-7,5.11e-7,8.67e-7,8.59e-7,3.76e-7,8.21e-7,3.66e-7,8.78e-7,9.42e-7,1.424e-6,1.264e-6,5.33e-7,1.989e-6,8.48e-7
13.0,4.4e-7,3.54e-7,6.44e-7,7.29e-7,6.77e-7,5.62e-7,6.26e-7,4.0e-7,4.2e-7,1.008e-6,5.05e-7,3.43e-7,6.52e-7,3.46e-7,1.287e-6,4.93e-7,6.81e-7,4.69e-7,1.13e-6,4.09e-7
14.0,7.16e-7,1.068e-6,1.227e-6,1.148e-6,7.39e-7,5.19e-7,7.37e-7,6.12e-7,5.66e-7,5.6e-7,1.096e-6,6.04e-7,1.017e-6,7.37e-7,7.78e-7,6.37e-7,6.25e-7,3.83e-7,5.05e-7,4.65e-7
15.0,4.04e-7,3.61e-7,5.31e-7,5.13e-7,4.1e-7,6.93e-7,5.69e-7,1.108e-6,2.308e-6,3.44e-7,7.36e-7,8.75e-7,4.6e-7,4.3e-7,1.198e-6,3.82e-7,9.46e-7,6.41e-7,1.634e-6,4.65e-7
16.0,4.99e-7,5.64e-7,7.47e-7,8.33e-7,8.55e-7,5.83e-7,9.97e-7,5.3e-7,1.122e-6,1.602e-6,5.62e-7,7.98e-7,6.91e-7,7.29e-7,6.06e-7,7.82e-7,4.53e-7,4.94e-7,6.92e-7,6.08e-7
