trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.0,0.00794141,3.785e-6,6.56e-7,5.51e-7,9.19e-7,8.91e-7,1.287e-6,1.164e-6,1.392e-6,6.96e-7,1.233e-6,1.476e-6,5.95e-7,1.026e-6,2.386e-6,1.242e-6,1.043e-6,1.381e-6,2.128e-6,2.061e-6
2.0,4.1e-7,5.22e-7,4.05e-7,4.86e-7,1.085e-6,1.414e-6,1.082e-6,9.66e-7,8.16e-7,9.84e-7,1.008e-6,1.097e-6,1.263e-6,1.577e-6,7.93e-7,1.233e-6,9.5e-7,2.663e-6,7.15e-7,1.109e-6
3.0,5.99e-7,1.83e-6,1.648e-6,8.78e-7,1.389e-6,1.41e-6,1.108e-6,1.409e-6,1.395e-6,1.373e-6,1.233e-6,2.087e-6,1.222e-6,2.379e-6,1.751e-6,1.964e-6,1.502e-6,2.752e-6,2.299e-6,2.612e-6
4.0,1.519e-6,1.53e-6,1.196e-6,1.37e-6,1.5e-6,1.177e-6,1.175e-6,1.385e-6,8.4e-7,1.549e-6,1.564e-6,1.284e-6,1.627e-6,1.833e-6,2.182e-6,2.407e-6,2.281e-6,1.778e-6,1.525e-6,1.963e-6
5.0,1.801e-6,1.316e-6,1.875e-6,2.069e-6,1.273e-6,1.352e-6,1.74e-6,2.216e-6,1.616e-6,2.262e-6,1.813e-6,1.537e-6,2.049e-6,2.202e-6,1.425e-6,1.727e-6,1.597e-6,2.031e-6,9.06e-7,1.77e-6
6.0,1.563e-6,1.799e-6,1.181e-6,6.55e-7,8.04e-7,5.12e-7,5.87e-7,2.095e-6,1.313e-6,9.68e-7,1.816e-6,1.44e-6,2.136e-6,1.581e-6,1.138e-6,2.19e-6,1.74e-6,8.95e-7,1.981e-6,1.85e-6
7.0,1.184e-6,1.45e-6,1.18e-6,1.84e-6,2.446e-6,1.673e-6,1.2e-6,1.978e-6,1.579e-6,1.677e-6,1.434e-6,2.715e-6,2.074e-6,1.536e-6,1.412e-6,1.604e-6,2.173e-6,1.883e-6,1.538e-6,2.403e-6
8.0,1.549e-6,1.561e-6,9.21e-7,1.008e-6,1.735e-6,1.475e-6,1.844e-6,3.191e-6,2.783e-6,2.967e-6,2.326e-6,2.498e-6,1.0806e-5,1.389e-6,2.405e-6,1.576e-6,1.2e-6,1.655e-6,2.176e-6,1.586e-6
9.0,1.458e-6,1.621e-6,1.849e-6,1.341e-6,1.231e-6,1.668e-6,1.424e-6,2.376e-6,1.952e-6,1.458e-6,2.286e-6,1.58e-6,1.231e-6,2.482e-6,1.313e-6,2.34e-6,2.635e-6,2.145e-6,2.491e-6,2.807e-6
