trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.0,0.008225221,3.148e-6,3.47e-7,6.23e-7,9.48e-7,7.93e-7,9.02e-7,9.42e-7,1.805e-6,9.08e-7,1.368e-6,1.364e-6,8.84e-7,1.266e-6,1.082e-6
2.0,1.505e-6,1.194e-6,1.23e-6,1.149e-6,2.202e-6,9.45e-7,1.767e-6,1.908e-6,1.142e-6,1.997e-6,1.475e-6,1.372e-6,9.1e-7,9.54e-7,2.222e-6
3.0,8.68e-7,1.49e-6,1.53e-6,1.09e-6,1.211e-6,9.94e-7,1.436e-6,9.86e-7,1.135e-6,9.07e-7,9.34e-7,9.38e-7,7.2e-7,5.74e-7,5.41e-7
4.0,7.36e-7,8.16e-7,1.108e-6,1.113e-6,1.376e-6,1.055e-6,6.6e-7,8.72e-7,1.873e-6,1.539e-6,1.429e-6,2.125e-6,1.055e-6,7.78e-7,1.441e-6
5.0,1.087e-6,8.08e-7,6.93e-7,1.634e-6,1.711e-6,1.239e-6,1.319e-6,2.062e-6,1.916e-6,2.259e-6,1.486e-6,1.226e-6,1.468e-6,1.604e-6,1.233e-6
6.0,8.41e-7,1.118e-6,1.213e-6,1.267e-6,7.53e-7,1.033e-6,1.042e-6,1.038e-6,1.085e-6,1.299e-6,7.45e-7,1.198e-6,1.565e-6,1.391e-6,1.175e-6
7.0,1.146e-6,1.195e-6,7.57e-7,9.99e-7,7.05e-7,1.272e-6,7.12e-7,1.072e-6,8.28e-7,1.405e-6,1.135e-6,9.79e-7,1.238e-6,1.087e-6,1.107e-6
8.0,1.39e-6,1.325e-6,1.232e-6,1.161e-6,8.18e-7,6.91e-7,6.36e-7,1.668e-6,9.65e-7,1.083e-6,7.85e-7,8.07e-7,6.78e-7,1.3e-6,9.58e-7
9.0,9.17e-7,7.44e-7,9.4e-7,1.076e-6,9.43e-7,1.072e-6,1.118e-6,9.43e-7,8.85e-7,9.34e-7,9.83e-7,1.096e-6,7.57e-7,9.78e-7,8.11e-7
10.0,1.087e-6,2.427e-6,1.088e-6,1.418e-6,1.808e-6,1.424e-6,1.418e-6,1.508e-6,1.714e-6,5.05e-7,1.246e-6,9.49e-7,1.026e-6,9.55e-7,7.62e-7
11.0,9.58e-7,1.117e-6,1.232e-6,1.788e-6,1.854e-6,1.535e-6,1.658e-6,9.73e-7,8.18e-7,1.299e-6,7.65e-7,8.25e-7,1.18e-6,1.222e-6,7.38e-7
12.0,8.74e-7,6.21e-7,4.8e-7,4.23e-7,1.261e-6,1.325e-6,1.077e-6,7.16e-7,6.34e-7,1.025e-6,7.42e-7,9.49e-7,9.5e-7,1.076e-6,1.191e-6
13.0,7.39e-7,1.247e-6,1.151e-6,1.358e-6,1.237e-6,1.621e-6,1.489e-6,6.68e-7,1.189e-6,1.366e-6,9.51e-7,9.22e-7,1.478e-6,1.465e-6,1.051e-6
14.0,1.463e-6,1.113e-6,1.369e-6,1.224e-6,8.59e-7,8.81e-7,9.89e-7,9.71e-7,1.748e-6,1.18e-6,1.008e-6,7.24e-7,1.687e-6,7.88e-7,8.24e-7
15.0,9.1e-7,1.401e-6,1.821e-6,1.023e-6,1.429e-6,1.352e-6,1.371e-6,7.77e-7,1.094e-6,1.36e-6,1.289e-6,9.96e-7,1.027e-6,1.214e-6,1.486e-6
16.0,9.42e-7,8.44e-7,8.34e-7,1.279e-6,1.26e-6,7.87e-7,1.015e-6,1.195e-6,9.16e-7,1.113e-6,8.43e-7,1.047e-6,7.53e-7,9.62e-7,8.28e-7
17.0,1.304e-6,9.82e-7,8.07e-7,1.006e-6,7.37e-7,1.063e-6,9.61e-7,1.153e-6,7.58e-7,5.36e-7,1.475e-6,9.93e-7,7.77e-7,8.86e-7,1.095e-6
18.0,7.63e-7,1.017e-6,1.091e-6,9.13e-7,9.66e-7,7.37e-7,7.01e-7,6.78e-7,9.41e-7,9.09e-7,9.71e-7,1.22e-6,9.34e-7,8.82e-7,1.414e-6
