trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.0,0.00465073,2.508e-6,2.313e-6,4.89e-7,6.6e-7,6.05e-7,8.73e-7,8.1e-7,7.98e-7,1.133e-6,8.95e-7,8.01e-7,8.58e-7,7.13e-7,6.63e-7,7.32e-7,7.7e-7,1.106e-6,5.07e-7,5.9e-7,6.44e-7,6.23e-7,7.3e-7,1.388e-6,8.94e-7,1.339e-6,9.11e-7,1.082e-6,9.16e-7,1.251e-6,8.63e-7,6.09e-7,5.13e-7,7.36e-7,9.58e-7,1.188e-6,6.46e-7,7.36e-7,7.14e-7,5.9e-7,6.87e-7,1.445e-6,5.91e-7,6.3e-7,5.7e-7,9.42e-7,8.21e-7,1.295e-6,6.41e-7,1.12e-6
2.0,1.128e-6,7.85e-7,4.64e-7,8.37e-7,4.89e-7,5.18e-7,5.21e-7,9.68e-7,8.22e-7,1.013e-6,6.37e-7,5.66e-7,9.24e-7,5.83e-7,5.72e-7,5.0e-7,5.78e-7,5.7e-7,5.17e-7,4.42e-7,6.92e-7,5.47e-7,4.97e-7,5.04e-7,5.52e-7,5.55e-7,6.88e-7,5.23e-7,5.27e-7,5.1e-7,6.8e-7,6.33e-7,1.004e-6,9.5e-7,7.75e-7,9.42e-7,5.52e-7,1.862e-6,5.96e-7,7.78e-7,6.35e-7,5.76e-7,1.049e-6,1.044e-6,6.03e-7,7.17e-7,9.88e-7,1.165e-6,1.01e-6,1.05e-6
3.0,2.536e-6,8.04e-7,1.289e-6,4.75e-7,4.5e-7,4.38e-7,5.07e-7,4.23e-7,6.36e-7,8.53e-7,1.299e-6,5.75e-7,8.5e-7,8.26e-7,1.035e-6,1.484e-6,6.51e-7,5.52e-7,3.77e-7,4.68e-7,6.88e-7,1.073e-6,7.08e-7,3.5e-7,8.76e-7,8.47e-7,7.99e-7,8.8e-7,6.97e-7,8.56e-7,1.268e-6,7.52e-7,5.79e-7,8.27e-7,1.046e-6,1.582e-6,8.62e-7,6.39e-7,7.93e-7,1.496e-6,6.33e-7,8.81e-7,1.163e-6,1.208e-6,1.349e-6,1.5501e-5,1.031e-6,8.71e-7,1.035e-6,9.23e-7
4.0,8.25e-7,1.022e-6,7.31e-7,8.85e-7,1.186e-6,8.87e-7,1.194e-6,7.1e-7,8.07e-7,1.086e-6,7.84e-7,9.15e-7,7.66e-7,7.86e-7,9.05e-7,8.44e-7,8.02e-7,9.01e-7,1.052e-6,7.41e-7,9.28e-7,1.264e-6,1.413e-6,9.59e-7,9.5e-7,7.45e-7,8.98e-7,1.029e-6,8.82e-7,1.302e-6,1.499e-6,1.013e-6,1.286e-6,1.007e-6,9.99e-7,1.13e-6,8.13e-7,1.162e-6,1.159e-6,1.09e-6,8.97e-7,9.86e-7,9.49e-7,1.003e-6,9.9e-7,1.463e-6,1.758e-6,8.88e-7,8.75e-7,1.01e-6
5.0,1.076e-6,8.73e-7,1.004e-6,8.37e-7,8.42e-7,1.224e-6,9.04e-7,8.12e-7,1.121e-6,8.97e-7,7.97e-7,6.29e-7,7.21e-7,9.13e-7,8.87e-7,7.23e-7,8.15e-7,1.28e-6,1.3253e-5,7.55e-7,1.005e-6,9.15e-7,1.157e-6,9.39e-7,1.116e-6,1.03e-6,1.244e-6,7.36e-7,8.89e-7,1.287e-6,9.67e-7,7.15e-7,7.65e-7,1.228e-6,4.4e-7,1.49e-6,8.65e-7,8.15e-7,1.176e-6,1.116e-6,8.64e-7,9.02e-7,1.916e-6,1.216e-6,1.004e-6,7.6e-7,1.707e-6,8.86e-7,1.002e-6,8.65e-7
6.0,8.1e-7,7.86e-7,7.64e-7,8.39e-7,6.35e-7,8.99e-7,8.17e-7,9.03e-7,7.65e-7,7.08e-7,1.47e-6,4.21e-7,9.35e-7,6.59e-7,8.5e-7,5.0e-7,1.112e-6,9.24e-7,1.458e-6,1.023e-6,6.29e-7,1.672e-6,7.74e-7,8.41e-7,8.87e-7,7.26e-7,9.59e-7,1.401e-6,1.001e-6,1.124e-6,1.021e-6,1.591e-6,1.935e-6,7.32e-7,9.72e-7,7.59e-7,1.153e-6,9.88e-7,1.357e-6,9.54e-7,9.87e-7,1.423e-6,8.3e-7,1.262e-6,9.36e-7,1.002e-6,1.009e-6,1.148e-6,8.75e-7,8.39e-7
7.0,1.254e-6,7.79e-7,6.76e-7,8.38e-7,1.277e-6,7.17e-7,8.81e-7,9.8e-7,8.18e-7,1.017e-6,1.382e-6,1.189e-6,9.35e-7,1.084e-6,6.97e-7,1.248e-6,7.29e-7,1.14e-6,9.32e-7,1.646e-6,8.52e-7,1.399e-6,8.87e-7,1.365e-6,1.198e-6,8.77e-7,8.83e-7,1.011e-6,1.144e-6,1.024e-6,8.97e-7,1.193e-6,1.961e-6,1.379e-6,8.88e-7,1.454e-6,8.7e-7,8.33e-7,7.8e-7,1.178e-6,1.383e-6,8.86e-7,9.9e-7,1.045e-6,8.06e-7,1.135e-6,7.21e-7,1.888e-6,9.97e-7,1.305e-6
8.0,8.15e-7,7.51e-7,7.53e-7,7.84e-7,1.077e-6,8.51e-7,6.29e-7,8.42e-7,1.016e-6,9.71e-7,1.183e-6,9.62e-7,8.72e-7,9.09e-7,1.367e-6,1.135e-6,1.099e-6,7.24e-7,8.03e-7,1.135e-6,1.467e-6,1.769e-6,7.55e-7,1.045e-6,9.74e-7,1.59e-6,7.7e-7,1.335e-6,1.352e-6,1.11e-6,1.311e-6,1.153e-6,7.45e-7,1.122e-6,9.02e-7,7.64e-7,9.38e-7,1.054e-6,7.99e-7,9.7e-7,7.37e-7,7.56e-7,1.212e-6,1.423e-6,9.03e-7,9.36e-7,1.12e-6,1.329e-6,9.82e-7,9.13e-7
9.0,8.32e-7,7.68e-7,8.32e-7,8.83e-7,1.608e-6,1.228e-6,9.0e-7,8.4e-7,7.89e-7,8.62e-7,9.41e-7,1.067e-6,8.31e-7,1.235e-6,7.35e-7,1.217e-6,8.37e-7,1.259e-6,9.53e-7,1.323e-6,6.24e-7,8.72e-7,7.22e-7,7.84e-7,7.74e-7,9.1e-7,8.41e-7,7.5e-7,8.79e-7,8.22e-7,1.118e-6,8.46e-7,7.11e-7,8.87e-7,7.96e-7,9.68e-7,1.244e-6,9.74e-7,1.134e-6,1.871e-6,6.74e-7,1.177e-6,9.8e-7,1.989e-6,7.74e-7,9.12e-7,4.99e-7,8.42e-7,7.81e-7,1.509e-6
